Classifier,Feature,Percentage,Accuracy,Balanced Accuracy,F1 Score
naive_bayes,rel_dim,0.2,0.876929012345679,0.935849309558922,0.3984915147705845
naive_bayes,rel_dim,0.3,0.8772780717225162,0.936034931821664,0.3988480921526278
naive_bayes,rel_dim,0.4,0.8774862825788752,0.9360626398210292,0.4063149148317407
naive_bayes,rel_dim,0.5,0.8787037037037037,0.936694587628866,0.4090225563909774
naive_bayes,rel_dim,0.6,0.8793724279835391,0.9370976394849786,0.4055766793409379
naive_bayes,rel_dim,0.7,0.8804869684499315,0.9375671802221426,0.4177109440267335
naive_bayes,rel_dim,0.8,0.8834876543209876,0.9392598551890587,0.4124513618677042
naive_bayes,rel_dim,0.9,0.8811728395061729,0.9379365932294466,0.4181360201511335
naive_bayes,rel_dim_block,0.1,0.8752857796067672,0.9349355916030536,0.40021990104453
naive_bayes,rel_dim_block,0.2,0.8739068930041153,0.9342740313714974,0.3926912356766801
naive_bayes,rel_dim_block,0.3,0.8757348618459729,0.9352305806649304,0.3958556627366916
naive_bayes,rel_dim_block,0.4,0.8771433470507545,0.9358836689038031,0.4056408129406885
naive_bayes,rel_dim_block,0.5,0.8766460905349794,0.935620704467354,0.4049627791563275
naive_bayes,rel_dim_block,0.6,0.8773148148148148,0.936024678111588,0.4015056461731493
naive_bayes,rel_dim_block,0.7,0.8784293552812071,0.936492296667861,0.4135649296939619
naive_bayes,rel_dim_block,0.8,0.8816872427983539,0.938321265754894,0.4087403598971722
naive_bayes,rel_dim_block,0.9,0.8811728395061729,0.9379365932294466,0.4181360201511335
naive_bayes,simple_rel,0.1,0.8752857796067672,0.9349355916030536,0.40021990104453
naive_bayes,simple_rel,0.2,0.8739068930041153,0.9342740313714974,0.3926912356766801
naive_bayes,simple_rel,0.3,0.8757348618459729,0.9352305806649304,0.3958556627366916
naive_bayes,simple_rel,0.4,0.8771433470507545,0.9358836689038031,0.4056408129406885
naive_bayes,simple_rel,0.5,0.8766460905349794,0.935620704467354,0.4049627791563275
naive_bayes,simple_rel,0.6,0.8773148148148148,0.936024678111588,0.4015056461731493
naive_bayes,simple_rel,0.7,0.8784293552812071,0.936492296667861,0.4135649296939619
naive_bayes,simple_rel,0.8,0.8816872427983539,0.938321265754894,0.4087403598971722
naive_bayes,simple_rel,0.9,0.8811728395061729,0.9379365932294466,0.4181360201511335
random_forest,rel_dim,0.1,0.9901691815272062,0.8923800436205016,0.8693009118541033
random_forest,rel_dim,0.2,0.9956275720164608,0.9546786364830157,0.944353518821604
random_forest,rel_dim,0.3,0.998530276308054,0.9819494584837544,0.9816176470588236
random_forest,rel_dim,0.4,0.9987139917695472,0.9846625766871164,0.9844236760124612
random_forest,rel_dim,0.5,0.998971193415638,0.9877450980392156,0.9875930521091812
random_forest,rel_dim,0.6,0.9984567901234568,0.98125,0.9808917197452228
random_forest,rel_dim,0.7,0.9986282578875172,0.984,0.983739837398374
random_forest,rel_dim,0.8,1.0,1.0,1.0
random_forest,rel_dim,0.9,1.0,1.0,1.0
random_forest,rel_dim_block,0.1,0.9999428440786464,0.9993093922651934,0.9993089149965446
random_forest,rel_dim_block,0.2,1.0,1.0,1.0
random_forest,rel_dim_block,0.3,1.0,1.0,1.0
