C,max_iter,penalty,solver,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
100.0,2000,l2,liblinear,0.9820193539954738,0.00489120124615586,0.9764106588962033,0.00671051605669912,0.9980720497125548,0.00054428670900622,0.9981172839506172,0.0005240313237434201,0.5998544692993164,0.0809501095723678
100.0,4000,l2,liblinear,0.9820193539954738,0.00489120124615586,0.9764106588962033,0.00671051605669912,0.9980720497125548,0.00054428670900622,0.9981172839506172,0.0005240313237434201,0.56287841796875,0.0703097291827148
100.0,1000,l2,liblinear,0.9820193539954738,0.00489120124615586,0.9764106588962033,0.00671051605669912,0.9980720497125548,0.00054428670900622,0.9981172839506172,0.0005240313237434201,0.5390271663665771,0.1565741348531496
100.0,2000,l1,saga,0.9820193539954738,0.00489120124615586,0.9764106588962033,0.00671051605669912,0.9980720497125548,0.00054428670900622,0.9981172839506172,0.0005240313237434201,55.30650568008423,7.582593224257182
100.0,3000,l1,saga,0.9820193539954738,0.00489120124615586,0.9764106588962033,0.00671051605669912,0.9980720497125548,0.00054428670900622,0.9981172839506172,0.0005240313237434201,50.7041455745697,7.641064765765681
100.0,4000,l1,saga,0.9820193539954738,0.00489120124615586,0.9764106588962033,0.00671051605669912,0.9980720497125548,0.00054428670900622,0.9981172839506172,0.0005240313237434201,50.18681449890137,5.047366896322499
100.0,3000,l2,liblinear,0.9820193539954738,0.00489120124615586,0.9764106588962033,0.00671051605669912,0.9980720497125548,0.00054428670900622,0.9981172839506172,0.0005240313237434201,0.5625824451446533,0.1420687692581822
100.0,5000,l1,saga,0.9820193539954738,0.00489120124615586,0.9764106588962033,0.00671051605669912,0.9980720497125548,0.00054428670900622,0.9981172839506172,0.0005240313237434201,51.05982809066772,7.857699221575054
100.0,5000,l2,liblinear,0.9820193539954738,0.00489120124615586,0.9764106588962033,0.00671051605669912,0.9980720497125548,0.00054428670900622,0.9981172839506172,0.0005240313237434201,0.4369639873504639,0.1303232873791087
100.0,4000,l1,liblinear,0.9820139863089468,0.00489533479920578,0.976295797651159,0.0067992568400962,0.9980621067753349,0.0005518656922706399,0.9981069958847737,0.00053188134241312,2.3567057132720945,0.3393919565488293
100.0,5000,l1,liblinear,0.9820139863089468,0.00489533479920578,0.976295797651159,0.0067992568400962,0.9980621067753349,0.0005518656922706399,0.9981069958847737,0.00053188134241312,2.0963877201080323,0.2864478456625675
100.0,3000,l1,liblinear,0.9820139863089468,0.00489533479920578,0.976295797651159,0.0067992568400962,0.9980621067753349,0.0005518656922706399,0.9981069958847737,0.00053188134241312,2.433190536499024,0.4653056948350761
100.0,2000,l1,liblinear,0.9820139863089468,0.00489533479920578,0.976295797651159,0.0067992568400962,0.9980621067753349,0.0005518656922706399,0.9981069958847737,0.00053188134241312,2.41981372833252,0.3569857565632773
100.0,1000,l1,liblinear,0.9820139863089468,0.00489533479920578,0.976295797651159,0.0067992568400962,0.9980621067753349,0.0005518656922706399,0.9981069958847737,0.00053188134241312,1.9922121524810792,0.2260438209548184
10.0,1000,l1,saga,0.9819120002649318,0.0048017396301710796,0.976620779215289,0.00672680733667676,0.9980911532973181,0.00054599271925372,0.9981378600823045,0.0005258766916791401,47.80271430015564,4.183788051269937
10.0,2000,l1,saga,0.9819066325784046,0.00479785713881178,0.9765037044358349,0.00666811522795552,0.9980811208433039,0.00054114142373712,0.9981275720164609,0.00052111415823222,65.68898124694825,10.397062694137842
10.0,3000,l1,liblinear,0.9819066325784046,0.0048028204185417795,0.9765048690668057,0.0067603047054143,0.9980811680168433,0.00054892001413952,0.9981275720164609,0.00052902064494702,11.124527788162233,3.2219781696708703
10.0,5000,l1,liblinear,0.9819066325784046,0.0048028204185417795,0.9765048690668057,0.0067603047054143,0.9980811680168433,0.00054892001413952,0.9981275720164609,0.00052902064494702,11.42717342376709,4.604056051853299
10.0,3000,l1,saga,0.9819066325784046,0.00479785713881178,0.9765037044358349,0.00666811522795552,0.9980811208433039,0.00054114142373712,0.9981275720164609,0.00052111415823222,61.2472849369049,8.536849355300342
10.0,4000,l1,liblinear,0.9819066325784046,0.0048028204185417795,0.9765048690668057,0.0067603047054143,0.9980811680168433,0.00054892001413952,0.9981275720164609,0.00052902064494702,10.41021294593811,2.291581671371318
10.0,4000,l1,saga,0.9819066325784046,0.00479785713881178,0.9765037044358349,0.00666811522795552,0.9980811208433039,0.00054114142373712,0.9981275720164609,0.00052111415823222,56.84326810836792,3.755025963593946
10.0,1000,l1,liblinear,0.9819066325784046,0.0048028204185417795,0.9765048690668057,0.0067603047054143,0.9980811680168433,0.00054892001413952,0.9981275720164609,0.00052902064494702,6.635799074172974,1.4544449385610891
10.0,5000,l1,saga,0.9819066325784046,0.00479785713881178,0.9765037044358349,0.00666811522795552,0.9980811208433039,0.00054114142373712,0.9981275720164609,0.00052111415823222,57.24437108039856,4.717820849920273
10.0,2000,l1,liblinear,0.9819066325784046,0.0048028204185417795,0.9765048690668057,0.0067603047054143,0.9980811680168433,0.00054892001413952,0.9981275720164609,0.00052902064494702,8.83519468307495,2.0274957853711038
100.0,1000,l2,saga,0.9819012648918776,0.00479893061303828,0.9763877942873516,0.006699387605108961,0.9980711355628291,0.0005438632231982999,0.9981172839506172,0.0005240313237434201,34.19509983062744,4.259950871343059
100.0,1000,l1,saga,0.9818958972053504,0.004795070589894019,0.9762714675895552,0.006648673658382781,0.998061132897579,0.00053972876975728,0.9981069958847737,0.00052004805076944,40.6489935874939,4.247359722262793
100.0,2000,l2,saga,0.9818958972053504,0.004795070589894019,0.9762714675895552,0.006648673658382781,0.998061132897579,0.00053972876975728,0.9981069958847737,0.00052004805076944,39.75825133323669,1.8154327504003684
100.0,3000,l2,saga,0.9818958972053504,0.004795070589894019,0.9762714675895552,0.006648673658382781,0.998061132897579,0.00053972876975728,0.9981069958847737,0.00052004805076944,38.86391186714173,6.620689751700586
100.0,4000,l2,saga,0.9818958972053504,0.004795070589894019,0.9762714675895552,0.006648673658382781,0.998061132897579,0.00053972876975728,0.9981069958847737,0.00052004805076944,36.878656482696535,3.988273726286885
