activation,alpha,hidden_layer_sizes,learning_rate_init,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
tanh,0.01,"(128,)",0.1,0.6592863673974083,0.10912161810707685,0.24408642832920777,0.08879246326581508,0.9448011933227504,0.0111257365473301,0.9506741817852931,0.025871028990047402,3.575590944290161,1.9189790557981807
tanh,0.0001,"(32,)",0.1,0.6261074509803921,0.04259537728506338,0.21414356884423266,0.028425807736170823,0.9478429024351411,0.0052379262703268,0.9583896658896659,0.010758334733517342,2.523316431045532,1.0366841848840245
tanh,0.001,"(128,)",0.1,0.6212062411986111,0.07391884223372733,0.20067936290240046,0.08546092233206048,0.940854425655246,0.02236409495491526,0.9498214439881106,0.034554771123376224,3.9045392513275146,1.289890955668366
tanh,0.001,"(32,)",0.1,0.6092082662372518,0.03549728580367008,0.20787626374785692,0.03359665991573314,0.9509690251525018,0.0021484461281275602,0.9640012970568528,0.006218932416450339,2.240932512283325,0.6563590091918838
tanh,0.01,"(32,)",0.1,0.6089184313725491,0.03491761607426464,0.20281556884423266,0.02347527010848468,0.949945759751768,0.00423278554321646,0.9627791652791652,0.00868888352430934,2.0828575611114504,0.3474988822623671
tanh,0.01,"(16, 16)",0.1,0.6089076757917338,0.03489610491263412,0.20676876751703088,0.03138166745408106,0.9505932109129643,0.0029378832208233597,0.9634251653696099,0.007396883343420281,3.916787242889405,1.4199216352136377
tanh,0.1,"(64, 64)",0.1,0.6088349315880467,0.03475061650526,0.20788997296374795,0.033624078347515254,0.9509882588650663,0.00211000038494336,0.9640012970568526,0.00621893241645034,6.905019617080688,1.4667301457641415
tanh,0.01,"(64,)",0.1,0.6087381834020752,0.03455712013331696,0.20752092625627405,0.03288598493256742,0.9508669459643398,0.00235260188432036,0.9638161118716674,0.00658930091585542,3.481162261962891,1.1021520822463655
tanh,0.0001,"(128,)",0.1,0.607821044546851,0.0327228424228686,0.20639234169381174,0.03062881580764274,0.9505721294396914,0.00298004616736936,0.9633737250403918,0.0074997640018565,4.045026588439941,1.1723989353581612
tanh,0.001,"(16, 16)",0.1,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,2.481402540206909,0.8315477849991286
tanh,0.001,"(16,)",0.001,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,11.33851499557495,0.6272930543960971
tanh,0.001,"(32, 32)",0.1,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,3.840026473999024,0.7786800112194154
tanh,0.001,"(16,)",0.01,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,3.811578321456909,0.6122221357927198
tanh,0.001,"(16,)",0.1,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,1.876642179489136,0.301738900098853
tanh,0.001,"(32, 32)",0.001,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,9.607172679901122,1.2375975628481988
tanh,0.001,"(32, 32)",0.01,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,5.11542067527771,0.9103258326593224
tanh,0.001,"(16, 16)",0.01,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,3.5111935138702397,0.8306090005339817
relu,0.0001,"(128,)",0.001,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,8.287848901748657,1.8667177058351023
tanh,0.001,"(32,)",0.001,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,9.509681987762452,0.8171924291985591
tanh,0.001,"(32,)",0.01,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,3.8058839321136473,0.96060757183135
tanh,0.001,"(64, 64)",0.001,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,15.603660726547242,3.2732255556315306
tanh,0.001,"(64, 64)",0.01,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,10.504984951019289,1.6517103086513387
tanh,0.001,"(64,)",0.001,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,10.685008764266968,0.9623672739452817
tanh,0.001,"(64,)",0.01,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,3.630349826812744,0.7859956207021004
tanh,0.001,"(64,)",0.1,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,3.1671969413757326,0.7468881628940902
tanh,0.001,"(8, 8)",0.001,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,6.306245422363281,0.8113744011952709
tanh,0.001,"(8, 8)",0.01,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,3.316381883621216,0.5355547156253199
tanh,0.001,"(8, 8)",0.1,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,1.9641536235809327,0.3415632721937227
tanh,0.001,"(16, 16)",0.001,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,7.357210445404053,0.7388130508921577
tanh,0.001,"(128,)",0.001,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,11.890569257736209,0.9845449982188428
tanh,0.001,"(128,)",0.01,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,4.630685901641845,1.2959473276244011
tanh,0.001,"(8,)",0.01,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,3.4965746879577635,0.3994964556307424
tanh,0.0001,"(128,)",0.01,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,5.665079689025879,1.8745822710222055
tanh,0.0001,"(16, 16)",0.001,0.5916666666666667,0.00041408666249994003,0.19130337372228148,0.00045087986458226,0.9519731321095002,0.00017804082775186,0.9670465645465646,0.00015408498951081999,7.861412906646729,0.9264268236532456
