C,class_weight,gamma,kernel,probability,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
100,balanced,0.1,rbf,TRUE,0.99301195,0.002576652,0.98666613,0.003317148,0.998868558,0.000279445,0.998868313,0.000278548,112.6063879,15.7617076
1,balanced,0.1,poly,TRUE,0.991781032,0.003971308,0.959770533,0.004913107,0.996445742,0.000459419,0.996296296,0.000501626,117.9144861,7.683188685
100,balanced,0.0001,rbf,TRUE,0.992691632,0.001151125,0.900233018,0.006960757,0.989681795,0.000884068,0.988004115,0.001128172,121.4775043,7.605515391
10,balanced,0.1,rbf,TRUE,0.993542627,0.00239966,0.985399994,0.004114446,0.998759737,0.000352901,0.998755144,0.00035724,124.1513289,5.681649245
10,balanced,0.001,rbf,TRUE,0.991862946,0.002198939,0.89736776,0.011902619,0.989420175,0.001338284,0.987731949,0.001585306,136.3632862,8.885807431
1,balanced,auto,rbf,TRUE,0.99339765,0.002133373,0.928606012,0.011507106,0.99340324,0.001124951,0.99287037,0.001255668,146.2317667,9.827069481
100,balanced,0.0001,linear,TRUE,0.994046817,0.002240335,0.925168385,0.008469821,0.992764165,0.000956325,0.991934156,0.001156858,154.1102444,13.05449579
1,balanced,0.01,rbf,TRUE,0.99025924,0.002439014,0.885154367,0.010795218,0.988322452,0.00124432,0.986909839,0.001462051,161.182202,10.06961441
1,balanced,scale,rbf,TRUE,0.989632814,0.002543843,0.875563294,0.010864243,0.987344244,0.001329441,0.985693042,0.001557967,161.1922783,6.042047584
100,balanced,0.001,linear,TRUE,0.994046817,0.002240335,0.925168385,0.008469821,0.992764165,0.000956325,0.991934156,0.001156858,161.4000962,12.6455759
100,balanced,0.1,linear,TRUE,0.994046817,0.002240335,0.925168385,0.008469821,0.992764165,0.000956325,0.991934156,0.001156858,162.7738724,17.08818331
100,balanced,0.01,linear,TRUE,0.994046817,0.002240335,0.925168385,0.008469821,0.992764165,0.000956325,0.991934156,0.001156858,163.5930357,16.67163955
100,balanced,scale,linear,TRUE,0.994046817,0.002240335,0.925168385,0.008469821,0.992764165,0.000956325,0.991934156,0.001156858,165.0024746,12.76959639
100,balanced,auto,linear,TRUE,0.994046817,0.002240335,0.925168385,0.008469821,0.992764165,0.000956325,0.991934156,0.001156858,166.2841934,18.64940718
100,balanced,0.001,sigmoid,TRUE,0.927524788,0.007111459,0.624777252,0.012466969,0.940347696,0.003730553,0.927267116,0.004752351,170.2527078,11.47970145
100,balanced,0.0001,sigmoid,TRUE,0.978678891,0.003898249,0.803550007,0.019368175,0.97878006,0.002530955,0.975468986,0.003099703,180.5004078,13.85600224
1,balanced,0.1,rbf,TRUE,0.993970165,0.001995408,0.965533177,0.004264487,0.996972934,0.000399494,0.99686214,0.00043131,186.2799678,8.132139017
100,balanced,auto,poly,TRUE,0.991025507,0.002826219,0.967408703,0.002978254,0.997168188,0.00028763,0.997088477,0.000316309,248.1350361,27.25298496
10,balanced,0.001,sigmoid,TRUE,0.944686231,0.011057856,0.658061096,0.029145112,0.95285249,0.006007297,0.942042186,0.008155033,257.8554734,14.71516976
1,balanced,0.01,poly,TRUE,0.984869825,0.00291934,0.780408631,0.020354406,0.977459504,0.003068801,0.974422789,0.003625323,268.3049533,10.55597445
0.1,balanced,scale,poly,TRUE,0.956833952,0.003676774,0.582190901,0.017711318,0.938117042,0.004410827,0.923346664,0.006096735,290.0557027,20.89704011
10,balanced,0.0001,rbf,TRUE,0.970481726,0.004421437,0.736177964,0.018055584,0.969829326,0.002818173,0.963704413,0.003644134,378.9525941,22.530807
10,balanced,0.1,poly,TRUE,0.9906535,0.002920735,0.969219571,0.004233871,0.997337575,0.00039051,0.997273663,0.000420135,399.6059733,53.87363382
0.1,balanced,auto,rbf,TRUE,0.982952315,0.002756317,0.780853044,0.015103751,0.976400698,0.002019844,0.972896568,0.002542454,441.3371804,24.75769856
100,balanced,0.001,poly,TRUE,0.954008761,0.003022178,0.540875525,0.015868662,0.933959398,0.004052079,0.917212726,0.005682977,457.1998401,24.31087653
0.1,balanced,scale,rbf,TRUE,0.979764653,0.002550778,0.746613267,0.01690295,0.971750258,0.00244034,0.966814081,0.003184397,508.0537266,35.60509573
0.1,balanced,0.1,rbf,TRUE,0.986052726,0.002869442,0.819398025,0.016409751,0.981406281,0.00204561,0.979234531,0.002457378,542.7214679,55.35586801
10,balanced,0.0001,sigmoid,TRUE,0.961736943,0.004230621,0.657191498,0.014828287,0.957496736,0.002946608,0.94649067,0.004063661,544.7481762,31.58983837
1,balanced,0.001,rbf,TRUE,0.972157136,0.004261322,0.741727042,0.018556855,0.971068617,0.002877578,0.965476766,0.003681482,575.9484111,14.53790976
0.1,balanced,0.01,rbf,TRUE,0.98002382,0.002508854,0.74472183,0.016660751,0.971905629,0.002342367,0.967080522,0.003047569,587.9228004,16.43567422
100,balanced,0.01,sigmoid,TRUE,0.592505688,0.02459003,0.139293954,0.014217313,0.695610581,0.014387368,0.593062308,0.018734732,648.6127481,93.0123536
0.1,balanced,0.01,poly,TRUE,0.954014136,0.003024036,0.540909468,0.015855509,0.933966429,0.004049742,0.917223014,0.005679542,679.3463791,15.64676983
1,balanced,0.001,sigmoid,TRUE,0.958498766,0.005577228,0.64760399,0.017001358,0.955473967,0.003621664,0.943517419,0.005100948,710.4923927,24.5573988
10,balanced,0.01,sigmoid,TRUE,0.608867739,0.02586843,0.144920465,0.014642641,0.700519686,0.017530282,0.599302097,0.022666334,725.1707207,81.54079405
1,balanced,0.01,sigmoid,TRUE,0.609777741,0.027955358,0.143709329,0.016573443,0.702751619,0.019069414,0.601309606,0.024836952,819.3554523,112.1971815
100,balanced,scale,sigmoid,TRUE,0.589410563,0.013474423,0.129829176,0.006647463,0.695766653,0.00810727,0.589615333,0.009834726,866.9213814,41.17371887
10,balanced,0.001,poly,TRUE,0.858780412,0.005050713,0.293324779,0.008333405,0.804529032,0.006544211,0.740813579,0.008877519,896.5891434,36.27535035
