C,max_iter,penalty,solver,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
0.1,1000,l1,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0394574642181396,0.0115932400829231
0.1,1000,l1,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0868178844451904,0.031384286482374
10.0,5000,l2,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0259474754333496,0.0107787086213453
10.0,5000,l1,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0425803661346435,0.0108529034388358
10.0,5000,l1,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0309527397155761,0.0146760097699611
10.0,4000,l2,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0464465141296386,0.0112839422875175
10.0,4000,l2,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0371021270751953,0.0096333216040451
10.0,4000,l1,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0496546268463134,0.0174129618051937
10.0,4000,l1,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0236472606658935,0.0057523074108113
10.0,3000,l2,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0457764148712158,0.012047199544291
10.0,3000,l2,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0256746768951416,0.0053895493521581
10.0,3000,l1,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0507106304168701,0.0128763241778047
10.0,3000,l1,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0314978122711181,0.0073912739795156
10.0,2000,l2,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0443611145019531,0.0141101687612327
10.0,2000,l2,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0233687400817871,0.0080902294024046
10.0,2000,l1,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0412826538085937,0.011957109038011
10.0,2000,l1,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0264286041259765,0.0086956136784582
10.0,1000,l2,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0477042198181152,0.0114637677933672
10.0,1000,l2,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0246242046356201,0.0078036858493441
10.0,5000,l2,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0448285102844238,0.0104908919266137
100.0,1000,l1,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0343920230865478,0.0138862731857735
100.0,1000,l1,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0430281162261962,0.0117055626261055
100.0,3000,l2,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0466907024383544,0.0223505663641537
100.0,5000,l2,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0224505424499511,0.0057445208846872
100.0,5000,l1,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0315047740936279,0.0061472316051061
100.0,5000,l1,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0248326778411865,0.0110176920786526
100.0,4000,l2,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.043996524810791,0.0206889259290355
100.0,4000,l2,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0434911251068115,0.0086287450497372
100.0,4000,l1,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0427357673645019,0.0148978402086959
100.0,4000,l1,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0256945133209228,0.0106231456400163
100.0,3000,l2,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0250424861907959,0.0071733992766508
100.0,1000,l2,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0237214565277099,0.0084325688663018
100.0,3000,l1,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0461089134216308,0.0103976369462768
100.0,3000,l1,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0322218894958496,0.006482650755594
100.0,2000,l2,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.039125919342041,0.0147945208345334
100.0,2000,l2,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0266240119934082,0.0077865513418621
100.0,2000,l1,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0504426479339599,0.0189820266985881
100.0,2000,l1,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.023951768875122,0.0091458715621821
100.0,1000,l2,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.043043565750122,0.0160999930892279
10.0,1000,l1,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0468510627746582,0.0162714139971801
10.0,1000,l1,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0200509071350097,0.0082817597376059
1.0,5000,l2,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0318134784698486,0.0129423836289204
0.1,3000,l2,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0200238704681396,0.0026150938761061
0.1,5000,l1,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0725660800933837,0.0195125140101972
0.1,5000,l1,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0376186370849609,0.016986456685608
0.1,4000,l2,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0523708343505859,0.0182165436904123
0.1,4000,l2,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0354780673980712,0.010436782041619
0.1,4000,l1,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0525094509124755,0.0197092753339445
0.1,4000,l1,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0233139991760253,0.0074542254924132
0.1,3000,l2,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0322188854217529,0.0067654893351344
