C,max_iter,penalty,solver,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
100.0,5000,l2,saga,0.4990670795284107,0.00408336868621594,0.017738497513600522,0.012538485857542438,0.9116316913509077,0.00250598230605354,0.9319714544714545,0.0017940685605868998,13.345910787582396,0.3947852086219541
100.0,3000,l2,saga,0.4990670795284107,0.00408336868621594,0.017738497513600522,0.012538485857542438,0.9116316913509077,0.00250598230605354,0.9319714544714545,0.0017940685605868998,18.207545661926268,1.0750071584579133
100.0,1000,l1,saga,0.4990670795284107,0.00408336868621594,0.017738497513600522,0.012538485857542438,0.9116316913509077,0.00250598230605354,0.9319714544714545,0.0017940685605868998,15.663815450668334,0.4474899312986186
100.0,1000,l2,liblinear,0.4990670795284107,0.00408336868621594,0.017738497513600522,0.012538485857542438,0.9116316913509077,0.00250598230605354,0.9319714544714545,0.0017940685605868998,0.2225140571594238,0.0425461668204069
100.0,1000,l2,saga,0.4990670795284107,0.00408336868621594,0.017738497513600522,0.012538485857542438,0.9116316913509077,0.00250598230605354,0.9319714544714545,0.0017940685605868998,13.164831686019898,0.4966880611071998
100.0,2000,l1,saga,0.4990670795284107,0.00408336868621594,0.017738497513600522,0.012538485857542438,0.9116316913509077,0.00250598230605354,0.9319714544714545,0.0017940685605868998,25.11493644714356,0.3102812946847166
100.0,2000,l2,liblinear,0.4990670795284107,0.00408336868621594,0.017738497513600522,0.012538485857542438,0.9116316913509077,0.00250598230605354,0.9319714544714545,0.0017940685605868998,0.2464438438415527,0.0342470280417802
100.0,2000,l2,saga,0.4990670795284107,0.00408336868621594,0.017738497513600522,0.012538485857542438,0.9116316913509077,0.00250598230605354,0.9319714544714545,0.0017940685605868998,19.3242488861084,0.9410860135247444
100.0,3000,l2,liblinear,0.4990670795284107,0.00408336868621594,0.017738497513600522,0.012538485857542438,0.9116316913509077,0.00250598230605354,0.9319714544714545,0.0017940685605868998,0.228071117401123,0.0403412784049028
100.0,3000,l1,saga,0.4990670795284107,0.00408336868621594,0.017738497513600522,0.012538485857542438,0.9116316913509077,0.00250598230605354,0.9319714544714545,0.0017940685605868998,22.86819534301758,0.4683064631582354
100.0,4000,l1,saga,0.4990670795284107,0.00408336868621594,0.017738497513600522,0.012538485857542438,0.9116316913509077,0.00250598230605354,0.9319714544714545,0.0017940685605868998,21.139942836761477,0.355080932752895
100.0,4000,l2,liblinear,0.4990670795284107,0.00408336868621594,0.017738497513600522,0.012538485857542438,0.9116316913509077,0.00250598230605354,0.9319714544714545,0.0017940685605868998,0.2275790214538574,0.037151518313271
100.0,4000,l2,saga,0.4990670795284107,0.00408336868621594,0.017738497513600522,0.012538485857542438,0.9116316913509077,0.00250598230605354,0.9319714544714545,0.0017940685605868998,17.44634222984314,0.5334130050476226
