activation,alpha,hidden_layer_sizes,learning_rate_init,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
tanh,0.01,"(32,)",0.01,0.948205001,0.020643663,0.922278171,0.011535805,0.994155722,0.000820701,0.994272713,0.000754799,5.771973324,1.091363205
tanh,0.0001,"(8, 8)",0.001,0.946531278,0.012995068,0.922274671,0.012779219,0.994175716,0.000938899,0.994291367,0.000894773,8.69854269,1.726421945
tanh,0.1,"(8, 8)",0.001,0.940148109,0.012843983,0.922224898,0.012968634,0.994194934,0.000934375,0.994362366,0.000874346,8.525026083,1.220718324
tanh,0.001,"(8, 8)",0.001,0.949162116,0.01462807,0.92219682,0.012190284,0.994153637,0.000885732,0.994252476,0.000853472,8.544245529,1.666121441
tanh,0.01,"(8, 8)",0.001,0.947178566,0.015817351,0.922186557,0.012079463,0.994168651,0.000843509,0.994291367,0.000774101,8.553445196,1.63816388
tanh,0.01,"(64, 64)",0.01,0.944170507,0.021082779,0.922103672,0.011769401,0.994124141,0.00082558,0.994265251,0.000763893,11.5434041,2.903637855
tanh,0.001,"(16,)",0.01,0.95812526,0.015985104,0.922082215,0.017767666,0.993950096,0.001540776,0.993969498,0.001639872,5.824231148,1.599545072
tanh,0.1,"(64,)",0.001,0.935998678,0.010874401,0.922025514,0.011839284,0.994204751,0.000851358,0.994407362,0.000793063,10.86848159,1.372049122
relu,0.01,"(128,)",0.01,0.941648316,0.016807942,0.921987452,0.013942692,0.994162068,0.000991492,0.994335685,0.000910713,13.35374451,2.173227497
tanh,0.001,"(8,)",0.001,0.941780775,0.015258011,0.921986098,0.013724635,0.994180751,0.000965115,0.994350495,0.000888497,9.319272947,1.531912233
tanh,0.001,"(16, 16)",0.01,0.951851456,0.018582049,0.921891782,0.016082511,0.994075234,0.001182312,0.994177859,0.001114158,6.00499239,2.358100448
tanh,0.1,"(16, 16)",0.001,0.948465231,0.020723751,0.921829345,0.015379844,0.994105606,0.001104006,0.994225116,0.001019747,8.466108751,1.139916497
tanh,0.0001,"(8, 8)",0.01,0.952167908,0.011263322,0.921581685,0.009011897,0.993988909,0.000693495,0.994104825,0.000690437,3.960473776,1.017270232
